[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [UNDERLYING_LAST], [EXPIRE_DATE], [EXPIRE_UNIX], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_IV], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_IV], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 1.000000, 0.000000, 0.000000, -0.000440, 0.004250, , 4.000000, 6.000000, 67 x 78, 4.800000, 5.270000, 21.000000, 0.010000, 0.040000, 70 x 1103, 0.030000, -0.018140, 0.011970, 0.001470, -0.009410, 0.000000, 0.921660, 7.000000, 4.700000, 0.182000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 1.000000, 0.000000, 0.000000, -0.001360, 0.004840, , 30.000000, 5.280000, 75 x 78, 3.820000, 4.280000, 22.000000, 0.010000, 0.060000, 70 x 1702, 0.050000, -0.027010, 0.018530, 0.002780, -0.012230, -0.000350, 0.827900, 6.000000, 3.700000, 0.143000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 1.000000, 0.000000, 0.000000, -0.000550, 0.004590, , 1.000000, 4.480000, 65 x 78, 2.920000, 3.370000, 23.000000, 0.050000, 0.150000, 1258 x 704, 0.080000, -0.063750, 0.036590, 0.004720, -0.026950, -0.000350, 0.852740, 2.000000, 2.700000, 0.104000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 1.000000, 0.000000, 0.000000, -0.000930, 0.004830, , 2.000000, 2.730000, 7 x 104, 2.200000, 2.550000, 24.000000, 0.220000, 0.370000, 33 x 67, 0.140000, -0.142530, 0.059000, 0.008580, -0.054880, -0.000860, 0.951150, 103.000000, 1.700000, 0.065000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 1.000000, 0.000000, 0.000000, -0.001130, 0.005090, , 2.000000, 1.550000, 78 x 50, 1.520000, 1.880000, 25.000000, 0.550000, 0.780000, 59 x 79, 0.650000, -0.240640, 0.072250, 0.012590, -0.088890, -0.001870, 1.077000, 105.000000, 0.700000, 0.026000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 1.000000, 0.000000, 0.000000, -0.001360, 0.005600, , 21.000000, 1.350000, 28 x 78, 1.070000, 1.380000, 26.000000, 1.050000, 1.300000, 107 x 132, 1.250000, -0.335840, 0.076110, 0.014860, -0.116460, -0.002470, 1.195490, 41.000000, 0.300000, 0.012000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 0.656360, 0.240470, 0.014360, -0.038000, 0.003700, 0.381240, 147.000000, 0.800000, 153 x 79, 0.850000, 1.010000, 27.000000, 1.700000, 2.030000, 89 x 78, 1.350000, -0.418430, 0.071880, 0.016050, -0.141210, -0.003140, 1.352950, 50.000000, 1.300000, 0.051000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 0.435180, 0.185460, 0.015750, -0.056640, 0.002330, 0.529630, 23.000000, 0.690000, 70 x 110, 0.560000, 0.750000, 28.000000, 2.450000, 2.800000, 118 x 71, 2.570000, -0.484640, 0.066280, 0.016040, -0.159590, -0.003150, 1.494640, 63.000000, 2.300000, 0.090000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 0.311710, 0.136360, 0.013700, -0.060840, 0.001480, 0.646730, 87.000000, 0.540000, 72 x 32, 0.410000, 0.580000, 29.000000, 3.260000, 3.580000, 28 x 17, 2.330000, -0.537880, 0.060750, 0.015990, -0.170630, -0.003500, 1.615800, 61.000000, 3.300000, 0.129000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 0.239310, 0.101880, 0.011970, -0.062410, 0.000840, 0.759740, 121.000000, 0.350000, 75 x 125, 0.360000, 0.450000, 30.000000, 4.120000, 4.460000, 50 x 18, 3.250000, -0.578730, 0.054820, 0.015360, -0.181640, -0.003520, 1.753510, 48.000000, 4.300000, 0.168000
