Implementation,PSteps,TSteps,MeanTime,StdTime,RunCount
gpu,140,20000,252.83495700000003,17.911719790672787,10
hybrid1,200,30000,389.564815,8.646617349131065,10
base,100,50000,1861.857195,8.481148012888127,10
cpu_acc,180,50000,234.017722,0.16037568552205012,10
gpu,60,40000,271.51688,12.189986496381177,10
gpu,200,80000,333.218134,14.334162656423437,10
hybrid1,140,90000,597.683277,21.941084474649138,10
hybrid2,200,50000,920.545573,11.216671997293464,10
base,40,100000,1396.891117,17.620771078381747,10
hybrid2,180,70000,1097.590565,13.654418667300265,10
hybrid1,20,90000,357.755267,11.026108199944806,10
base,20,80000,318.284811,4.961924398269621,10
hybrid2,100,10000,301.91298,9.645031906469892,10
hybrid2,40,90000,490.45932899999997,17.822752742286376,10
base,200,10000,362.920884,1.4474866948473146,10
hybrid1,100,70000,474.668386,20.24371408032967,10
base,180,30000,2019.014632,2.5637121320624985,10
cpu_acc,100,30000,80.386919,0.2794777057874592,10
hybrid1,60,70000,392.01369,7.322203871256549,10
hybrid2,80,10000,288.70211600000005,10.643579554384674,10
hybrid2,120,50000,645.664437,18.155677815583413,10
gpu,120,80000,323.675513,21.073346718710315,10
hybrid1,40,30000,283.854229,15.057254923855332,10
cpu_acc,120,70000,218.894786,1.0929879193415937,10
hybrid1,120,30000,365.028872,22.35945040125729,10
base,120,10000,189.41431,5.0994945099489986,10
hybrid2,20,30000,277.96425899999997,12.245208137878489,10
gpu,160,60000,292.296566,13.342301994296355,10
base,40,20000,217.901289,6.937943641018092,10
gpu,80,80000,321.479085,27.629662099020095,10
cpu_acc,160,90000,374.235803,0.4084879787174364,10
base,20,10000,30.336876,0.1056955300431907,10
hybrid2,100,80000,869.6275600000001,36.484246132511,10
gpu,100,50000,284.865378,7.262013629074393,10
base,140,20000,1003.71204,8.983957023843486,10
gpu,20,30000,267.040411,18.713674332322668,10
gpu,40,100000,318.396992,15.88158834516651,10
base,200,80000,5911.195377999999,51.8848333875466,10
hybrid2,80,80000,672.287076,14.460661241589333,10
hybrid1,180,80000,638.843661,18.839932219105165,10
gpu,100,100000,335.065931,9.137879229893619,10
hybrid2,140,60000,805.6294350000001,13.556255042567557,10
hybrid1,180,100000,749.864624,19.247084197474468,10
cpu_acc,40,30000,34.029128,0.07752735600346973,10
gpu,200,10000,268.634659,11.734033994853927,10
gpu,180,30000,252.807807,14.752883895088331,10
cpu_acc,140,40000,146.584647,4.34796673857269,10
base,120,80000,3544.2524559999997,27.616235222499178,10
hybrid2,160,20000,467.21427299999993,15.229219542217042,10
gpu,80,10000,244.781862,12.309826805311811,10
hybrid1,160,40000,410.847165,11.620706838241853,10
base,80,30000,822.6256510000001,7.250762918693369,10
cpu_acc,60,70000,112.93408500000001,0.5361298300733186,10
gpu,40,90000,301.888833,11.382541120749655,10
hybrid2,60,40000,397.85024699999997,11.163807320116655,10
hybrid1,80,20000,286.352039,11.854546602651332,10
base,160,60000,3565.903254,18.349337371498574,10
gpu,120,10000,252.188584,8.836110577386664,10
cpu_acc,20,90000,52.421865000000004,0.15760172406346837,10
